last_name, first_name,player_id,year,slg_percent,on_base_percent,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,n_bolts,hp_to_1b,sprint_speed
Burger, Jake,669394,2022,0.458,0.301,90.7,12.3,33.3,14.9,6.1,16.7,26.3,28.9,5.3,43,102.65301125,73.1,23.1,36.7,57.1,42.9,53.1,89.7,8.5,76.9,46.9,41.1,35.4,53.8,40.4,37.7,21.9,67.6,43,30.7,21.1,5.3,,4.5,27.8
Allen, Nick,669397,2022,0.291,0.252,83.9,7.6,26,1.2,3.3,24,23.1,39.7,8.7,22.3,94.329041897,73.8,13.6,32.2,43.5,53.8,50,76.7,7.8,84.5,50,43.1,22.7,53,27.3,34.3,38.4,66.9,53.7,19.8,20.7,5.8,,4.42,27.7
Hummel, Cooper,669450,2022,0.307,0.274,87.6,7.7,30.1,7.1,7.1,23.9,22.1,33.6,4.4,35.4,99.536416429,61.7,18.4,18.7,59.5,40.5,48.4,65.6,7.8,81.6,51.6,43.6,27.5,40.9,41.6,38.9,19.5,58.7,47.8,24.8,20.4,7.1,,4.31,28.8
Smith, Josh H.,669701,2022,0.249,0.304,87,19.2,34.5,2.4,5.4,27.4,35.1,24.4,5.4,28.6,96.124871098,61.3,17.5,21.1,40.5,55.9,50.2,67.1,7.8,81.9,49.8,45.7,23.4,41.1,36.3,38.7,25,59.3,36.3,26.2,25.6,11.9,,4.32,28.2
Hays, Austin,669720,2022,0.413,0.306,87.7,11.3,32.3,5.2,7.1,23.3,25.5,35.1,3.3,37.7,98.997922429,67.8,12.5,36.2,41.8,58,53.2,75.6,6.2,87.5,46.8,42.2,23.5,51,40.8,36.3,22.9,65.3,43.6,22.4,23.6,10.4,,4.36,27.8
Lopez, Nicky,670032,2022,0.273,0.275,84.9,4.9,31.3,1.6,2.9,25,20.6,40.9,9.1,22.9,94.94043827,67.7,12.7,30,28,70.1,49.4,79.7,7.3,86.3,50.6,44.3,17.3,49.1,26.3,42.4,31.3,62.1,55.2,15.4,24.7,4.7,,4.24,27.7
Alvarez, Yordan,670541,2022,0.613,0.406,95.2,12.3,40.7,21,7.5,23.2,18.1,29.1,0.8,59.8,105.676985081,63.7,12.4,24.8,47.3,52.7,54,76.6,6.6,87.4,46,40.9,23.4,42.7,39.1,38.8,22.1,54.4,39.9,30.5,27,2.7,,4.53,26.4
Paredes, Isaac,670623,2022,0.435,0.304,87.4,15.8,27.4,6.4,6.4,19.2,32,31.6,4.1,38.7,98.355538496,60.8,11,20.4,31.6,68.4,51.9,70.6,7.4,89,48.1,43,16.5,39.8,49.2,31.6,19.2,55.1,42.1,28.2,17.7,12,,4.75,26.2
Brosseau, Mike,670712,2022,0.418,0.344,89.1,14.6,34.4,8.6,9.7,28,23.7,28,2.2,41.9,98.509374894,66.6,27.6,27.9,39.2,60.8,50.7,74,7.3,72.4,49.3,46.1,31.1,46.9,35.5,39.8,24.7,51.9,40.9,34.4,22.6,2.2,,4.49,27.7
Walls, Taylor,670764,2022,0.285,0.266,86.3,16.6,32.6,6.2,4.8,20.6,33,30.6,4.5,28.5,96.121545455,64.9,20,19.8,44.2,55.2,48.5,77.6,7.8,78.9,51.5,44,25.4,43,33.7,36.1,30.2,59.4,37.8,26.8,26.8,8.6,5,4.23,28.7
Gonzalez, Luis,670768,2022,0.360,0.323,86.9,10.9,27,2.9,7.5,21.6,27.4,31.1,9.5,32,97.698676404,67.9,15.6,26,41.8,55.6,49.4,85.5,8.4,82,50.6,42.7,22.7,47.2,29,36.1,34.9,56.7,47.3,27,20.3,5.4,,4.25,28.2
Friedl Jr., TJ,670770,2022,0.436,0.314,87.2,19.8,30.9,4.7,6.8,20.4,36.1,23.6,8.4,29.8,97.321634111,63.2,12.4,23.8,39.5,60.5,50.1,71.6,7.4,85,49.9,43.4,19.9,43.5,44.5,31.4,24.1,57.8,35.1,32.5,20.4,12,,4.26,28.2
Garcia, Luis,671277,2022,0.408,0.294,87.3,5.5,37.4,7.5,7.1,27,14.6,38.8,5,36.7,98.963627429,67.5,19.1,40.8,38.9,60.8,52.4,78.8,6.4,80.5,47.6,41.4,27,53.5,34.5,38.8,26.7,70.2,52.3,20.3,25.6,1.8,,4.28,27.0
Harris II, Michael,671739,2022,0.514,0.338,89.5,4.5,32.8,10.1,6.8,20.8,12.7,41.9,7.5,45.1,102.581692941,67.2,15.7,39,47.5,52.5,52.5,80.5,7.1,83.7,47.5,43.7,28.1,52.4,32.1,43.5,24.4,55.3,55.8,17.9,22.4,3.9,47,4.22,29.4
Kelenic, Jarred,672284,2022,0.313,0.221,86,18,27.2,13.6,5.8,13.6,34,26.2,6.8,35,99.0507575,67.6,27,28.1,49.5,50.5,48.4,76.1,6.6,72.5,51.6,46.1,33.3,48.5,27.2,47.6,25.2,58.6,36.9,31.1,16.5,15.5,1,4.39,27.2
Kirk, Alejandro,672386,2022,0.415,0.372,90.5,8.1,32,6.7,6.5,27.2,20.2,35.3,3.8,45.4,101.053304663,59.6,10.7,23.3,27,73,51.3,70.4,6.9,89.3,48.7,41.5,15.4,41,32.2,38.9,28.8,59.7,50,20.4,24.5,5,,4.89,24.1
Perdomo, Geraldo,672695,2022,0.262,0.278,85,12.1,28.1,2,2,25.4,25.1,33.6,10.8,25.1,95.305189236,59.4,13.3,21.5,33.5,64.2,47.8,71.6,8.2,83.7,52.2,43.1,18.3,41.3,38,39.5,22.5,61.4,50.6,19.9,21.1,8.5,,4.48,27.2
Marcano, Tucupita,672779,2022,0.306,0.249,84.7,11.1,30.3,1.6,6.6,18.9,29.5,33.6,9.8,17.2,94.100557069,64.3,11.4,25.6,46.9,50.6,47,70.2,7,86.5,53,46.6,20.6,46.1,41.8,34.4,23.8,64.4,47.5,23.8,20.5,8.2,,4.27,28.8
Robert, Luis,673357,2022,0.426,0.319,89.3,10,32.6,8.9,4.9,27.3,22.4,32.9,3.6,42.8,101.454212895,83.5,17.4,43.1,42.8,57.2,54.6,90.7,5.6,82.6,45.4,43,27.1,61.5,34.2,37.8,28,67.3,45.1,23,26.3,5.6,8,4.38,27.9
Kim, Ha-Seong,673490,2022,0.383,0.323,86.7,16.1,34,4.2,6.1,24.8,28.5,29.5,6.1,32.4,97.647567656,60.3,14.1,24.9,32.3,66.7,48,72.1,8.4,85.8,52,43,19.1,43.3,45.3,35.4,19.3,62,40.8,22.9,25.9,10.4,1,4.39,28.4
Suzuki, Seiya,673548,2022,0.433,0.336,89.6,11.2,36.9,11,5.5,22.4,26.2,31,2.4,41.3,100.244268881,56.8,15.9,21.3,41.6,58.4,49.8,66.7,7,84.1,50.2,43.9,22.8,39,28.3,38.6,33.1,60.3,40.7,25.5,27.2,6.6,2,4.33,28.3
Smith, Kevin,675656,2022,0.302,0.212,87,16.4,32.4,7.8,5.9,16.7,32.4,31.4,5.9,33.3,98.087369388,70.7,20,35.2,50.5,48.5,49.8,68.2,7.8,78,50.2,42.4,30.1,53,32.4,40.2,27.5,63.6,43.1,32.4,16.7,7.8,,4.48,27.6
Velazquez, Nelson,676369,2022,0.373,0.286,89.2,12.3,35,13.3,9.2,17.5,24.2,29.2,4.2,43.6,100.265489661,74.2,28.7,23.6,59.6,40.4,52.8,87.3,6.9,70.3,47.2,42.6,36.2,47.4,39.2,40.8,20,65,43.3,29.2,20,7.5,,4.43,28.2
